mes,dia,titulo,versiculo,texto
JANEIRO,11,A FÉ VÊ O ARCO,"A FÉ VÊ O ARCO ""E acontecerá que, quando eu trouxer uma nuvem sobre a terra, o arco será visto na nuvem — Gênesis 9:14","Neste momento, as nuvens são abundantes, mas não temos medo de que o mundo seja

destruído por um dilúvio. Vemos o arco-íris com frequência suficiente para evitar que

tenhamos tais medos. A aliança que o Senhor fez com Noé permanece firme, e não temos

dúvidas sobre isso. Por que, então, deveríamos pensar que as nuvens de problemas, que

agora escurecem o nosso céu, terminarão na nossa destruição? Vamos descartar esses

medos infundados e desonrosos. A fé sempre vê o arco da promessa da aliança sempre

que os sentidos veem a nuvem da aflição. Deus tem um arco com o qual Ele poderia

disparar as Suas flechas de destruição; mas veja! Ele está voltado para cima. É um arco

sem flecha ou corda; é um arco pendurado para exibição, não mais usado para a guerra.

É um arco de muitas cores, expressando alegria e deleite, e não um arco vermelho de

sangue com matança ou preto de raiva. Tenhamos bom ânimo. Deus nunca escurece o

nosso céu a ponto de deixar a Sua aliança sem testemunha; e mesmo que o fizesse,

confiaríamos Nele, pois Ele não pode mudar, mentir ou, de qualquer outra forma, deixar

de cumprir a Sua aliança de paz. Até que as águas cubram a terra novamente, não teremos

motivos para duvidar do nosso Deus."
JANEIRO,12,"""AMOR ATÉ AO FIM""","AMOR ATÉ AO FIM — Romanos
11:2","""Porque o Senhor não rejeitará para sempre."" Lamentações. 3:31

Ele pode rejeitar por um tempo, mas não para sempre. Uma mulher pode deixar de usar

os seus adornos por alguns dias, mas não os esquecerá, nem os jogará no monte de lixo.

Não é do feitio do Senhor rejeitar aqueles que Ele ama: pois, ""tendo amado os seus que

estavam no mundo, amou-os até ao fim"". Alguns falam de estarmos na graça e fora dela,

como se fôssemos coelhos que entram e saem das suas tocas: mas, na verdade, não é

assim. O amor do Senhor é uma questão muito mais séria e duradoura do que isso. Ele

escolheu-nos desde a eternidade e vai amar-nos por toda a eternidade. Ele nos amou a

ponto de morrer por nós e, portanto, podemos ter certeza de que o Seu amor nunca

morrerá. A Sua honra está tão envolvida na salvação do crente que Ele não pode rejeitá-

lo, assim como não pode rejeitar as Suas próprias vestes de rei da glória. Não, não! O

Senhor Jesus, como Cabeça, nunca rejeita os Seus membros; como Marido, Ele nunca

rejeita a Sua noiva. Pensaste que foste rejeitado? Por que pensaste tão mal do Senhor que

te desposou consigo mesmo? Rejeita tais pensamentos e nunca mais os deixes alojar-se

na tua alma. ""O Senhor não rejeitou o seu povo, que ele conheceu de antemão"" (Romanos

11:2). ""Ele odeia o divórcio"" (Malaquias 2:16)."
JANEIRO,13,JAMAIS REJEITADO,"JAMAIS REJEITADO ""Aquele que vem a mim, eu de modo algum o rejeitarei. — João 6:37","Existe algum caso em que nosso Senhor tenha rejeitado alguém que O procurou? Se

houver, gostaríamos de saber; mas não houve nenhum, e nunca haverá. Entre as almas

perdidas no inferno, não há nenhuma que possa dizer: ""Eu fui até Jesus, e Ele me

rejeitou"". Não é possível que você ou eu sejamos os primeiros a quem Jesus quebrará Sua

palavra. Não alimentemos uma suspeita tão sombria. Suponhamos que vamos agora a

Jesus para falar sobre os males de hoje. Disso podemos ter certeza: Ele não nos recusará

audiência, nem nos expulsará. Aqueles de nós que já foram muitas vezes e aqueles que

nunca foram antes, vamos juntos, e veremos que Ele não fechará a porta da Sua graça na

cara de nenhum de nós. ""Este homem recebe pecadores"", mas Ele não repele ninguém.

Nós nos aproximamos Dele em fraqueza e pecado, com fé trêmula, conhecimento

pequeno e esperança frágil; mas Ele não nos rejeita. Nós nos aproximamos com oração,

e essa oração é imperfeita; com confissão, e essa confissão é falha; com louvor, e esse

louvor está muito aquém dos Seus méritos; mas, ainda assim, Ele nos recebe. Nós nos

aproximamos doentes, contaminados, desgastados e sem valor; mas Ele de forma alguma

nos rejeita. Aproximemo-nos novamente hoje d'Aquele que nunca nos rejeita."
JANEIRO,14,O DESCANSO É UMA DÁDIVA,"O DESCANSO É UMA DÁDIVA ""Vinde a mim, todos os que estais cansados e oprimidos, e eu vos aliviarei. — Mateus 11:28","Nós, que somos salvos, encontramos descanso em Jesus. Aqueles que não são salvos

receberão descanso se vierem a Ele, pois aqui Ele promete ""dar"" esse descanso. Nada

pode ser mais gratuito do que um presente; aceitemos com alegria o que Ele nos dá com

alegria. Não deve comprá-lo, nem pedi-lo emprestado, mas recebê-lo como um presente.

Você trabalha sob o chicote da ambição, da cobiça, da luxúria ou da ansiedade: Ele irá

libertá-lo dessa escravidão de ferro e dar-lhe descanso. Você está ""sobrecarregado"" —

sim, ""sobrecarregado"" com pecado, medo, preocupações, remorso, medo da morte; mas

se você vier a Ele, Ele o descarregará. Ele carregou o peso esmagador do nosso pecado,

para que não precisássemos mais carregá-lo. Ele se tornou o grande Carregador de Fardos,

para que todos os sobrecarregados pudessem deixar de se curvar sob a enorme pressão.

Jesus dá descanso. É verdade. Você acredita nisso? Você vai colocar isso à prova? Você

vai fazer isso agora mesmo? Venha a Jesus, abandonando todas as outras esperanças,

pensando nele, acreditando no testemunho de Deus sobre ele e confiando tudo a ele. Se

você vier a ele dessa forma, o descanso que ele lhe dará será profundo, seguro, santo e

eterno. Ele dá um descanso que se transforma em céu, e ele o dá hoje a todos os que vêm

a ele."
JANEIRO,15,ENRIQUECIDO PELA FÉ,"ENRIQUECIDO PELA FÉ ""Porque os necessitados não serão sempre esquecidos; a esperança dos pobres não perecerá para sempre. — Salmos 9:18","A pobreza é uma herança difícil; mas aqueles que confiam no Senhor são enriquecidos

pela fé. Eles sabem que não são esquecidos por Deus; e embora possa parecer que são

ignorados na Sua distribuição providencial de coisas boas, eles esperam pelo momento

em que tudo isso será corrigido. Lázaro não ficará para sempre entre os cães à porta do

homem rico, mas terá a sua recompensa no seio de Abraão. Mesmo agora, o Senhor

lembra-se dos Seus filhos pobres, mas preciosos. ""Sou pobre e necessitado; contudo, o

Senhor pensa em mim"", disse um antigo; e assim é. Os pobres piedosos têm grandes

expectativas. Eles esperam que o Senhor lhes forneça todas as coisas necessárias para esta

vida e piedade; eles esperam ver todas as coisas a trabalhar para o seu bem; eles esperam

ter uma comunhão mais íntima com o seu Senhor, que não tinha onde reclinar a cabeça;

eles esperam a Sua Segunda Vinda e compartilhar a Sua glória. Esta expectativa não pode

perecer, pois está depositada em Cristo Jesus, que vive para sempre; e porque Ele vive,

ela também viverá. O santo pobre canta muitas canções que o pecador rico não consegue

compreender. Portanto, quando tivermos poucos bens aqui em baixo, pensemos na mesa

real lá em cima."
JANEIRO,16,MESMO O CHAMADO MAIS FRACO,"MESMO O CHAMADO MAIS FRACO ""E acontecerá que todo aquele que invocar o nome do Senhor será salvo. — Joel 2:32","Por que não invoco o Seu nome? Por que corro para este vizinho e para aquele, quando

Deus está tão perto e ouvirá o meu mais fraco clamor? Por que me sento, elaboro

esquemas e invento planos? Por que não me entrego imediatamente ao Senhor com o meu

fardo? O caminho mais direto é o melhor caminho — por que não corro imediatamente

para o Deus vivo? Em vão procurarei a libertação em qualquer outro lugar; mas com Deus

eu a encontrarei; pois aqui tenho a Sua promessa real para garantir isso. Não preciso

perguntar se posso invocá-Lo ou não, pois a palavra ""todo aquele"" é muito ampla e

abrangente. Todo aquele significa eu, pois significa qualquer pessoa e todas as pessoas

que invocam a Deus. Seguirei, portanto, a orientação do texto e invocarei imediatamente

o glorioso Senhor que fez uma promessa tão grande. O meu caso é urgente e não vejo

como serei libertado; mas isso não é da minha conta. Aquele que faz a promessa

encontrará maneiras e meios de cumpri-la. Cabe-me obedecer aos Seus mandamentos;

não me cabe dirigir os Seus conselhos. Sou Seu servo, não Seu advogado. Eu O invoco,

e Ele me libertará."
JANEIRO,17,UM HOMEM SEM MEDO,"UM HOMEM SEM MEDO ""E ele disse: Certamente estarei contigo. — Êxodo 3:12","É claro que, se o Senhor enviasse Moisés em uma missão, Ele não o deixaria ir sozinho.

O enorme risco que isso implicaria e o grande poder que seria necessário tornariam

ridículo que Deus enviasse um pobre hebreu solitário para enfrentar o rei mais poderoso

do mundo e depois o deixasse sozinho. Não se poderia imaginar que um Deus sábio

colocasse o pobre Moisés frente a frente com o Faraó e as enormes forças do Egito. Por

isso, Ele diz: ""Certamente estarei contigo"", como se fosse impossível que Ele o enviasse

sozinho. No meu caso, também, a mesma regra se aplica. Se eu for em nome do Senhor,

confiando simplesmente no Seu poder e com os olhos fixos na Sua glória, é certo que Ele

estará comigo. O fato de Ele me enviar obriga-O a apoiar-me. Não é isso suficiente? O

que mais eu poderia querer? Se todos os anjos e arcanjos estivessem comigo, eu poderia

falhar; mas se Ele estiver comigo, eu devo ter sucesso. Apenas devo ter o cuidado de agir

de forma digna em relação a esta promessa. Não devo ir timidamente, sem entusiasmo,

descuidadamente, presunçosamente. Que tipo de pessoa deve ser aquela que tem Deus

com ela! Nessa companhia, cabe-me agir como um homem e, tal como Moisés, ir ter com

o Faraó sem medo."
JANEIRO,18,CRISTO E OS SEUS FILHOS,"CRISTO E OS SEUS FILHOS ""Quando fizeres da sua alma uma oferta pelo pecado, ele verá a sua descendência. — Isaías 53:10","Nosso Senhor Jesus não morreu em vão. A Sua morte foi sacrificial: Ele morreu em nosso

lugar, porque a morte era a pena pelos nossos pecados; e porque a Sua substituição foi

aceita por Deus, Ele salvou aqueles por quem Ele sacrificou a Sua alma. Pela morte, Ele

tornou-se como o grão de trigo que produz muito fruto. Deve haver uma sucessão de

filhos para Jesus; Ele é ""o Pai da eternidade"". Ele dirá: ""Eis aqui eu e os filhos que me

deste"". Um homem é honrado nos seus filhos, e Jesus tem a sua aljava cheia dessas flechas

do poderoso. Um homem é representado nos seus filhos, assim como Cristo nos cristãos.

Na sua descendência, a vida de um homem parece ser prolongada e estendida; e assim a

vida de Jesus continua nos crentes. Jesus vive, pois vê a sua descendência. Ele fixa os

Seus olhos em nós, deleita-se em nós, reconhece-nos como o fruto do trabalho da Sua

alma. Alegremo-nos porque o nosso Senhor não deixa de desfrutar do resultado do Seu

terrível sacrifício e porque Ele nunca deixará de deleitar os Seus olhos com a colheita da

Sua morte. Aqueles olhos que outrora choraram por nós, agora olham para nós com prazer.

Sim, Ele olha para aqueles que olham para Ele. Os nossos olhos encontram-se! Que

alegria é esta!"
JANEIRO,19,CONFISSÃO COM A BOCA; CRENÇA COM O CORAÇÃO,"CONFISSÃO COM A BOCA; CRENÇA COM O CORAÇÃO ""Se confessares com a tua boca que Jesus é Senhor e creres no teu coração que Deus o ressuscitou dentre os mortos, serás salvo. — Romanos 10:9","Deve haver confissão com a boca. Eu já fiz isso? Eu já professei abertamente a minha fé

em Jesus como o Salvador que Deus ressuscitou dentre os mortos, e eu fiz isso à maneira

de Deus? Deixe-me responder honestamente a essa pergunta. Também deve haver crença

com o coração. Eu acredito sinceramente no Senhor Jesus ressuscitado? Eu confio Nele

como minha única esperança de salvação? Essa confiança vem do meu coração? Deixe-

me responder como diante de Deus. Se eu posso realmente afirmar que confessei a Cristo

e acreditei Nele, então estou salvo. O texto não diz que pode ser assim, mas é claro como

o dia e evidente como o sol no céu: ""Tu serás salvo"". Como crente e confessor, posso

colocar a minha mão sobre esta promessa e invocá-la perante o Senhor Deus neste

momento, ao longo da vida, na hora da morte e no dia do julgamento. Devo ser salvo da

culpa do pecado, do poder do pecado, da punição do pecado e, finalmente, da própria

existência do pecado. Deus disse: ""Tu serás salvo"". Eu acredito nisso. Serei salvo: estou

salvo. Glória a Deus para todo o sempre!"
JANEIRO,20,O VENCEDOR,"O VENCEDOR ""Ao vencedor, darei a comer da árvore da vida, que está no meio do paraíso de Deus. — Apocalipse 2:7","Nenhum homem pode virar as costas no dia da batalha ou recusar-se a ir para a guerra

santa. Devemos lutar se quisermos reinar, e devemos continuar a guerra até vencermos

todos os inimigos, ou então essa promessa não é para nós, pois é apenas para ""aquele que

vencer"". Devemos vencer os falsos profetas que vieram ao mundo e todos os males que

acompanham os seus ensinamentos. Devemos vencer a nossa própria fraqueza de coração

e a tendência para nos afastarmos do nosso primeiro amor. Leia toda a palavra do Espírito

à igreja em Éfeso. Se pela graça vencermos o dia, como venceremos se seguirmos

verdadeiramente o nosso Líder conquistador, então seremos admitidos no centro do

paraíso de Deus e teremos permissão para passar pelo querubim e sua espada flamejante

e chegar àquela árvore guardada, da qual, se um homem comer, viverá para sempre.

Assim, escaparemos da morte eterna que é a condenação do pecado e ganharemos a vida

eterna que é o selo da inocência, o resultado dos princípios imortais da santidade divina.

Venha, meu coração, tenha coragem! Fugir do conflito será perder as alegrias do novo e

melhor Éden; lutar até a vitória é caminhar com Deus no Paraíso."
JANEIRO,21,OS INIMIGOS DE DEUS SE INCLINARÃO,"OS INIMIGOS DE DEUS SE INCLINARÃO ""Os egípcios saberão que eu sou o Senhor. — Êxodo 7:5","É difícil ensinar o mundo ímpio. O Egito não conhece Jeová e, por isso, ousa erguer os

seus ídolos e até se atreve a perguntar: ""Quem é o Senhor?"" No entanto, o Senhor pretende

quebrar os corações orgulhosos, quer eles queiram quer não. Quando os Seus julgamentos

trovejam sobre as suas cabeças, escurecem os seus céus, destroem as suas colheitas e

matam os seus filhos, eles começam a discernir um pouco do poder de Jeová. Ainda

haverá coisas a acontecer na terra que levarão os céticos a ajoelharem-se. Não nos

deixemos abalar por causa das suas blasfêmias, pois o Senhor pode cuidar do Seu próprio

nome, e Ele o fará de maneira muito eficaz. A salvação do Seu próprio povo foi outro

meio potente de fazer o Egito saber que o Deus de Israel era Jeová, o Deus vivo e

verdadeiro. Nenhum israelita morreu por nenhuma das dez pragas. Nenhum dos

descendentes escolhidos se afogou no Mar Vermelho. Mesmo assim, a salvação dos

eleitos e a glorificação certa de todos os verdadeiros crentes farão com que os inimigos

mais obstinados de Deus reconheçam que Jeová é o Deus. Oh, que o Seu poder

convincente se manifeste pelo Seu Espírito Santo na pregação do evangelho, até que todas

as nações se curvem ao nome de Jesus e O chamem de Senhor!"
JANEIRO,22,LIBERALIDADE CRISTÃ,"LIBERALIDADE CRISTÃ ""Bem-aventurado aquele que se preocupa com os pobres; o Senhor o livrará na hora da angústia. — Salmos 41:1","Pensar nos pobres e deixá-los em nossos corações é um dever do cristão; pois Jesus os

colocou conosco e perto de nós quando disse: ""Os pobres sempre os tereis convosco"".

Muitos dão o seu dinheiro aos pobres às pressas, sem pensar; e muitos mais não dão nada.

Esta preciosa promessa pertence àqueles que ""consideram"" os pobres, examinam a sua

situação, elaboram planos para o seu benefício e os executam com consideração. Podemos

fazer mais com carinho do que com dinheiro, e mais ainda com os dois juntos. Àqueles

que consideram os pobres, o Senhor promete a Sua própria consideração em momentos

de angústia. Ele nos tirará das dificuldades se ajudarmos os outros quando eles estiverem

em dificuldades. Receberemos uma ajuda providencial muito singular se o Senhor vir que

tentamos prover para os outros. Teremos momentos difíceis, por mais generosos que

sejamos; mas se formos caridosos, poderemos reivindicar uma libertação especial, e o

Senhor não negará a Sua própria palavra e compromisso. Os avarentos mesquinhos

podem ajudar a si mesmos, mas os crentes atenciosos e generosos serão ajudados pelo

Senhor. Como você fez aos outros, assim o Senhor fará a você. Esvazie os seus bolsos."
