mes,dia,titulo,versiculo,texto
SETEMBRO,11,QUEM SOFRE TORNA-SE UM CRENTE FORTE,"É bom para o homem suportar o jugo na sua juventude"" Lamentações de — Jeremias 3:27","Isso é tão bom quanto uma promessa. Tem sido bom, é bom e será bom para mim carregar

o jugo. No início da vida, tive de sentir o peso da convicção e, desde então, isso tem sido

um fardo que enriquece a alma. Teria eu amado tanto o evangelho se não tivesse

aprendido, por profunda experiência, a necessidade da salvação pela graça? Jabez era

mais honrado do que os seus irmãos porque a sua mãe o deu à luz com dor, e aqueles que

sofrem muito ao nascer para Deus tornam-se crentes fortes na graça soberana. O jugo da

censura é incômodo, mas prepara o homem para a honra futura. Não é apto para ser líder

aquele que não passou pelo escrutínio do desprezo. O elogio intoxica se não for precedido

pelo abuso. Os homens que ascendem à eminência sem luta geralmente caem em desonra.

O jugo da aflição, da decepção e do trabalho excessivo não deve, de forma alguma, ser

procurado; mas quando o Senhor o coloca sobre nós na nossa juventude, frequentemente

desenvolve um caráter que glorifica a Deus e abençoa a Igreja. Vem, minha alma, inclina

o teu pescoço; toma a tua cruz. Foi bom para ti quando eras jovem, não te fará mal agora.

Por amor a Jesus, carrega-a com alegria."
SETEMBRO,12,E A MINHA CASA?,"Crê no Senhor Jesus Cristo e serás salvo, tu e a tua casa — Atos 16:31","Este evangelho para um homem com uma espada na garganta é o evangelho para mim.

Isso seria adequado para mim se eu estivesse a morrer, e é tudo o que preciso enquanto

estou vivo. Desvio o meu olhar de mim mesmo, do pecado e de toda a ideia de mérito

pessoal, e confio no Senhor Jesus como o Salvador que Deus me deu. Creio Nele,

descanso Nele, aceito-O como meu tudo em tudo. Senhor, estou salvo e serei salvo para

toda a eternidade, pois creio em Jesus. Bendito seja o teu nome por isso. Que eu possa

provar diariamente com a minha vida que sou salvo do egoísmo, da mundanidade e de

toda forma de maldade. Mas essas últimas palavras sobre a minha ""casa"": Senhor, não

fugiria com meia promessa quando tu me dás uma promessa completa. Eu te imploro,

salva toda a minha família. Salva os mais próximos e queridos. Converte os filhos e os

netos, se eu tiver algum. Sê misericordioso com os meus servos e com todos os que

habitam sob o meu teto ou trabalham para mim. Tu fazes esta promessa a mim

pessoalmente, se eu crer no Senhor Jesus; suplico-te que faças como disseste. Quero

repetir em minha oração todos os dias os nomes de todos os meus irmãos e irmãs, pais,

filhos, amigos, parentes, servos, e não te darei descanso até que essa palavra se cumpra:

""e a tua casa""."
SETEMBRO,13,O ORVALHO DO CÉU,Os seus céus derramarão o seu orvalho — Deuteronômio 33:28,"O que o orvalho no Oriente é para o mundo da natureza, isso é a influência do Espírito no

reino da graça. Como eu preciso disso! Sem o Espírito de Deus, sou uma coisa seca e

murcha. Eu murcho, eu definho, eu morro. Como esse orvalho me refresca docemente!

Quando sou favorecido por ele, sinto-me feliz, animado, vigoroso, elevado. Não quero

mais nada. O Espírito Santo me traz vida e tudo o que a vida requer. Tudo o mais, sem o

orvalho do Espírito, é menos que nada para mim: ouço, leio, oro, canto, vou à mesa da

comunhão e não encontro bênção alguma ali até que o Espírito Santo me visite. Mas

quando Ele me rega, todos os meios da graça são doces e proveitosos. Que promessa é

esta para mim! ""Os seus céus derramarão orvalho."" Serei visitado pela graça. Não serei

deixado à minha seca natural, nem ao calor abrasador do mundo, nem ao siroco da

tentação satânica. Oh, que eu possa, neste exato momento, sentir o orvalho suave,

silencioso e saturante do Senhor! Por que não deveria? Aquele que me fez viver como a

erva vive no prado, tratará-me como trata a erva; Ele me refrescará do alto. A erva não

pode pedir orvalho como eu. Certamente, o Senhor que visita a planta que não ora

responderá ao Seu filho suplicante."
SETEMBRO,14,MARCA DA APROVAÇÃO DIVINA,"Bem-aventurado o homem que suporta a tentação, porque, quando for aprovado, receberá a coroa da vida, que o Senhor prometeu aos que o amam. — Tiago 1:12","Sim, ele é abençoado enquanto está a passar pela provação. Nenhum olho pode ver isso

até que tenha sido ungido com o colírio celestial. Mas ele deve suportar isso, e não se

rebelar contra Deus, nem se desviar da sua integridade. É abençoado aquele que passou

pelo fogo e não foi consumido como uma falsificação. Quando o teste termina, vem a

marca da aprovação divina — ""a coroa da vida"". Como se o Senhor dissesse: ""Deixai-o

viver; ele foi pesado na balança e não foi considerado insuficiente"". A vida é a

recompensa: não a mera existência, mas uma existência santa, feliz e verdadeira, a

realização do propósito divino a nosso respeito. Uma forma mais elevada de vida

espiritual e de gozo já coroa aqueles que passaram com segurança pelas mais ferozes

provações de fé e amor. O Senhor prometeu a coroa da vida àqueles que O amam.

Somente os amantes do Senhor resistirão na hora da provação; os demais afundarão,

ficarão amuados ou voltarão sorrateiramente para o mundo. Vem, meu coração, tu amas

o teu Senhor? Verdadeiramente? Profundamente? Totalmente? Então esse amor será

provado; mas muitas águas não o apagarão, nem as inundações o afogarão. Senhor, deixa

o teu amor nutrir o meu até o fim."
SETEMBRO,15,O ABRIGO MAIS SEGURO,E o homem será como um refúgio contra o vento e um abrigo contra a tempestade. — Isaías 32:2,"Todos sabemos quem é esse HOMEM. Quem poderia ser Ele senão o Segundo Homem,

o Senhor do Céu, o Homem das dores, o Filho do Homem? Que refúgio Ele tem sido para

o Seu povo! Ele mesmo suporta toda a força do vento e, assim, protege aqueles que se

escondem Nele. Assim, escapamos da ira de Deus e, assim, escaparemos da ira dos

homens, das preocupações desta vida e do medo da morte. Por que ficamos expostos ao

vento quando podemos tão facilmente e com tanta certeza nos proteger dele, escondendo-

nos atrás do nosso Senhor? Vamos correr para Ele hoje e ter paz. Muitas vezes, o vento

comum das tribulações aumenta a sua força e se transforma em tempestade, varrendo tudo

à sua frente. Coisas que pareciam firmes e estáveis balançam com a rajada, e muitas e

grandes são as quedas entre as nossas confianças carnais. Nosso Senhor Jesus, o Homem

glorioso, é um abrigo que nunca é derrubado. Nele, vemos a tempestade passar, mas nós

mesmos descansamos em uma serenidade deliciosa. Neste dia, vamos nos esconder em

nosso refúgio, sentar e cantar sob a proteção do nosso Abrigo. Abençoado Jesus!

Abençoado Jesus! Como nós te amamos! E com razão, pois tu és para nós um abrigo em

tempos de tempestade."
SETEMBRO,16,A RECOMPENSA É CERTA,"«E quem der a beber a um destes pequeninos um copo de água fria, mesmo que seja apenas em nome de um discípulo, em verdade vos digo que não perderá a sua recompensa. — Mateus 10:42","Bem, eu posso fazer isso. Posso fazer uma boa ação para com os servos do Senhor. O

Senhor sabe que eu amo todos eles e consideraria uma honra lavar os seus pés. Por causa

do seu Mestre, eu amo os discípulos. Que gracioso da parte do Senhor mencionar uma

ação tão insignificante — ""dar de beber apenas um copo de água fria""! Isso eu posso

fazer, por mais pobre que seja; isso eu posso fazer, por mais humilde que seja; isso eu

farei com alegria. Isso, que parece tão pouco, o Senhor percebe — percebe quando feito

ao menor dos Seus seguidores. Evidentemente, não é o custo, nem a habilidade, nem a

quantidade que Ele observa, mas o motivo: aquilo que fazemos a um discípulo, porque

ele é um discípulo, o seu Senhor observa e recompensa. Ele não nos recompensa pelo

mérito do que fazemos, mas de acordo com as riquezas da Sua graça. Eu dou um copo de

água fria, e Ele faz-me beber água viva. Eu dou a um dos Seus pequeninos, e Ele trata-

me como um deles. Jesus encontra uma desculpa para a Sua liberalidade naquilo que a

Sua graça me levou a fazer, e Ele diz: ""De modo algum perderá a sua recompensa""."
SETEMBRO,17,COMO A PALMEIRA E O CEDRO,O justo florescerá como a palmeira; crescerá como o cedro do Líbano — Salmos 92:12,"Essas árvores não são cultivadas e podadas pelo homem: palmeiras e cedros são ""árvores

do Senhor"", e é pelo Seu cuidado que elas florescem; o mesmo acontece com os santos

do Senhor, eles são cuidados por Ele. Essas árvores são perenes e são objetos bonitos em

todas as estações do ano. Os crentes não são santos às vezes e ímpios outras vezes: eles

permanecem na beleza do Senhor em todas as circunstâncias. Em todos os lugares, essas

árvores são dignas de nota: ninguém pode contemplar uma paisagem em que haja

palmeiras ou cedros sem que sua atenção se fixe nessas árvores majestosas. Os seguidores

de Jesus são observados por todos os observadores: como uma cidade situada sobre uma

colina, eles não podem ser escondidos. O filho de Deus floresce como uma palmeira, que

empurra toda a sua força para cima em uma coluna ereta, sem um único ramo. É um pilar

com um capitel glorioso. Não cresce para a direita ou para a esquerda, mas envia toda a

sua força para o céu e dá frutos o mais perto possível do céu. Senhor, cumpra este tipo

em mim. O cedro enfrenta todas as tempestades e cresce perto das neves eternas, sendo o

próprio Senhor que o enche de uma seiva que mantém o seu coração quente e os seus

ramos fortes. Senhor, que assim seja comigo, eu te peço. Amém."
SETEMBRO,18,SEGURANÇA TOTAL,"E de Benjamim disse: O amado do Senhor habitará em segurança junto a ele; e o Senhor o cobrirá durante todo o dia, e ele habitará entre os seus ombros. — Deuteronômio 33:12","Sim, não há segurança como aquela que vem de habitar perto de Deus. Para os Seus mais

amados, o Senhor não pode encontrar lugar mais seguro ou protegido. Ó Senhor, deixa-

me permanecer sempre sob a Tua sombra, perto do Teu lado ferido. Quero aproximar-me

cada vez mais de Ti, meu Senhor; e, quando estiver especialmente perto de Ti, quero

permanecer ali para sempre. Que cobertura é essa que o Senhor dá aos Seus escolhidos!

Não é um telhado bonito que o cobrirá, nem uma janela à prova de bombas, nem mesmo

a asa de um anjo, mas o próprio Jeová. Nada pode nos atingir quando estamos assim

cobertos. O Senhor nos concederá essa cobertura durante todo o dia, por mais longo que

seja. Senhor, deixa-me permanecer hoje conscientemente sob este dossel de amor, este

pavilhão de poder soberano. A terceira cláusula significa que o Senhor, no Seu templo,

habitaria entre as montanhas de Benjamim, ou que o Senhor estaria onde o fardo de

Benjamim deveria ser colocado, ou significa que somos carregados nos ombros do

Eterno? Em qualquer caso, o Senhor é o apoio e a força dos Seus santos. Senhor, deixa-

me desfrutar sempre da Tua ajuda e então os meus braços serão suficientes para mim."
SETEMBRO,19,A RAZÃO PARA CANTAR,,"""O Senhor teu Deus, que está no meio de ti, é poderoso; ele salvará, regozijar-se-á sobre

ti com alegria; descansará no seu amor, regozijar-se-á sobre ti com cânticos"" Sofonias

3:17

Que palavra é esta! Jeová Deus no centro do Seu povo, em toda a majestade do Seu poder!

Só esta presença basta para nos inspirar paz e esperança. Tesouros de poder ilimitado

estão guardados no nosso Jeová, e Ele habita na Sua igreja, portanto, que o Seu povo grite

de alegria. Não só temos a Sua presença, mas Ele está empenhado na Sua obra escolhida

de salvação. ""Ele salvará."" Ele está sempre salvando: Ele tira o Seu nome de Jesus disso.

Não temamos nenhum perigo, pois Ele é poderoso para salvar. E isso não é tudo. Ele

permanece sempre o mesmo; Ele ama, encontra descanso no amor e não deixará de amar.

O Seu amor Lhe dá alegria. Ele até encontra um tema para canções na Sua amada. Isso é

extremamente maravilhoso. Quando Deus criou o mundo, Ele não cantou, mas

simplesmente disse: ""É muito bom""; mas quando chegou a redenção, a sagrada Trindade

sentiu uma alegria que precisava ser expressa em canções. Pense nisso e surpreenda-se!

Jeová Jesus canta uma canção de casamento sobre a Sua noiva escolhida . Ela é para Ele

o Seu amor, a Sua alegria, o Seu descanso, a Sua canção. Ó Senhor Jesus, pelo Teu amor

imensurável por nós, ensina-nos a amar-Te, a regozijar-nos em Ti e a cantar-Te o nosso

salmo de vida."
SETEMBRO,20,DISPOSIÇÃO PERFEITA,O teu povo estará disposto no dia do teu poder — Salmos 110:3,"Bendito seja o Deus da graça por ser assim! Ele tem um povo que escolheu desde a

antiguidade para ser a Sua porção peculiar. Por natureza, estes têm vontades tão teimosas

quanto os restantes filhos rebeldes de Adão; mas quando chega o dia do Seu poder, e a

graça manifesta a sua onipotência, eles tornam-se dispostos a arrepender-se e a crer em

Jesus. Ninguém é salvo contra a sua vontade, mas a vontade é suavemente levada a ceder.

Que poder maravilhoso é este, que nunca viola a vontade, mas ainda assim a governa!

Deus não arromba a fechadura, mas a abre com uma chave mestra que só Ele pode

manusear. Agora estamos dispostos a ser, a fazer ou a sofrer conforme a vontade do

Senhor. Se em algum momento nos tornarmos rebeldes, Ele apenas precisa vir até nós

com poder, e imediatamente corremos no caminho de Suas ordens com todo o nosso

coração. Que este seja um dia de poder para mim, para algum esforço nobre para a glória

de Deus e o bem dos meus semelhantes! Senhor, estou disposto; posso esperar que este

seja um dia do teu poder? Estou totalmente à tua disposição; disposto, sim, ansioso por

ser usado por ti para os teus santos propósitos. Ó Senhor, não me deixes ter de clamar: ""A

vontade está presente em mim, mas não encontro como realizar o que desejo"", mas dá-

me poder, assim como me dás vontade."
SETEMBRO,21,QUE AS PROVAÇÕES SEJAM UMA BÊNÇÃO,Sabendo que a tribulação produz paciência — Romanos 5:3,"Esta é uma promessa em essência, se não na forma. Precisamos de paciência, e aqui

vemos a maneira de obtê-la. É somente suportando que aprendemos a suportar, assim

como nadando os homens aprendem a nadar. Não se pode aprender essa arte em terra

firme, nem aprender a ter paciência sem dificuldades. Não vale a pena sofrer tribulações

para ganhar aquela bela serenidade de espírito que aceita tranquilamente toda a vontade

de Deus? No entanto, o nosso texto apresenta um fato singular, que não é natural, mas

sobrenatural. A tribulação, por si só, gera petulância, descrença e rebelião. É somente pela

alquimia sagrada da graça que ela é transformada em paciência dentro de nós. Não

debulhamos o trigo para espalhar o pó: no entanto, o mangual da tribulação faz isso no

chão de Deus. Não sacudimos um homem para lhe dar descanso, mas é assim que o

Senhor trata os Seus filhos. Na verdade, essa não é a maneira do homem, mas redondeja

grandemente para a glória do nosso Deus onisciente. Oh, que a graça permita que as

minhas provações me abençoem! Por que eu deveria desejar impedir a sua graciosa

operação? Senhor, peço-Te que remova a minha aflição, mas suplico-Te dez vezes mais

que remova a minha impaciência. Precioso Senhor Jesus, com a Tua cruz, grava a imagem

da Tua paciência no meu coração."
SETEMBRO,22,RIO LARGO SEM GALÉS,"Mas ali o glorioso Senhor será para nós um lugar de rios largos e correntes; onde não passará nenhuma galera com remos, nem navio galante por ali passará — Isaías 33:21","O Senhor será para nós o maior bem, sem nenhuma das desvantagens que parecem

acompanhar necessariamente as melhores coisas terrenas. Se uma cidade é favorecida

com rios largos, ela está sujeita a ser atacada por galeras com remos e outros navios de

guerra. Mas quando o Senhor representa a abundância da Sua generosidade sob esta

figura, Ele toma o cuidado expresso de excluir o medo que a metáfora poderia sugerir.

Bendito seja o Seu amor perfeito! Senhor, se me enviares riqueza como rios largos, não

deixes que a galera com remos apareça na forma de mundanismo ou orgulho. Se me

concederes saúde abundante e espírito feliz, não deixes que o ""navio galante"" do conforto

carnal venha navegando pela correnteza. Se eu tiver sucesso no serviço sagrado , tão vasto

quanto o Reno alemão, que eu nunca encontre a galera da presunção e da autoconfiança

flutuando nas ondas da minha utilidade. Se eu tiver a felicidade suprema de desfrutar da

luz do teu rosto ano após ano, que eu nunca despreze os teus santos fracos, nem permita

que a noção vaidosa da minha própria perfeição navegue pelos rios caudalosos da minha

plena segurança. Senhor, dá-me essa bênção que enriquece, e não acrescenta tristeza, nem

acrescenta pecado."
